"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"ABCD1P4","Approved symbol","ABCD1P4","ATP binding cassette subfamily D member 1 pseudogene 4","HGNC:65","22q11.1"
"ABI1","Approved symbol","ABI1","abl interactor 1","HGNC:11320","10p12.1"
"ABL1","Approved symbol","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","HGNC:76","9q34.12"
"ABL2","Approved symbol","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase","HGNC:77","1q25.2"
"ABRAXAS1","Approved symbol","ABRAXAS1","abraxas 1, BRCA1 A complex subunit","HGNC:25829","4q21.23"
"ACAD8","Approved symbol","ACAD8","acyl-CoA dehydrogenase family member 8","HGNC:87","11q25"
"ACAD9","Approved symbol","ACAD9","acyl-CoA dehydrogenase family member 9","HGNC:21497","3q21.3"
"ACADM","Approved symbol","ACADM","acyl-CoA dehydrogenase medium chain","HGNC:89","1p31.1"
"ACADS","Approved symbol","ACADS","acyl-CoA dehydrogenase short chain","HGNC:90","12q24.31"
"ACADSB","Approved symbol","ACADSB","acyl-CoA dehydrogenase short/branched chain","HGNC:91","10q26.13"
"ACADVL","Approved symbol","ACADVL","acyl-CoA dehydrogenase very long chain","HGNC:92","17p13.1"
"ACE","Approved symbol","ACE","angiotensin I converting enzyme","HGNC:2707","17q23.3"
"ACKR3","Approved symbol","ACKR3","atypical chemokine receptor 3","HGNC:23692","2q37.3"
"ACOX1","Approved symbol","ACOX1","acyl-CoA oxidase 1","HGNC:119","17q25.1"
"ACSL3","Approved symbol","ACSL3","acyl-CoA synthetase long chain family member 3","HGNC:3570","2q36.1"
"ACSL4","Approved symbol","ACSL4","acyl-CoA synthetase long chain family member 4","HGNC:3571","Xq23"
"ACSL6","Approved symbol","ACSL6","acyl-CoA synthetase long chain family member 6","HGNC:16496","5q31.1"
"ACTA1","Approved symbol","ACTA1","actin alpha 1, skeletal muscle","HGNC:129","1q42.13"
"ACTA2","Approved symbol","ACTA2","actin alpha 2, smooth muscle","HGNC:130","10q23.31"
"ACTB","Approved symbol","ACTB","actin beta","HGNC:132","7p22.1"
"ACTC1","Approved symbol","ACTC1","actin alpha cardiac muscle 1","HGNC:143","15q14"
"ACTG1","Approved symbol","ACTG1","actin gamma 1","HGNC:144","17q25.3"
"ACTN2","Approved symbol","ACTN2","actinin alpha 2","HGNC:164","1q43"
"ACTN4","Approved symbol","ACTN4","actinin alpha 4","HGNC:166","19q13.2"
"ACVR1","Approved symbol","ACVR1","activin A receptor type 1","HGNC:171","2q24.1"
"ACVR1B","Approved symbol","ACVR1B","activin A receptor type 1B","HGNC:172","12q13.13"
"ACVR2A","Approved symbol","ACVR2A","activin A receptor type 2A","HGNC:173","2q22.3-q23.1"
"ACVRL1","Approved symbol","ACVRL1","activin A receptor like type 1","HGNC:175","12q13.13"
"ACY1","Approved symbol","ACY1","aminoacylase 1","HGNC:177","3p21.2"
"ADAM33","Approved symbol","ADAM33","ADAM metallopeptidase domain 33","HGNC:15478","20p13"
"ADAM9","Approved symbol","ADAM9","ADAM metallopeptidase domain 9","HGNC:216","8p11.22"
"ADAMTS10","Approved symbol","ADAMTS10","ADAM metallopeptidase with thrombospondin type 1 motif 10","HGNC:13201","19p13.2"
"ADAMTS13","Approved symbol","ADAMTS13","ADAM metallopeptidase with thrombospondin type 1 motif 13","HGNC:1366","9q34.2"
"ADAMTS2","Approved symbol","ADAMTS2","ADAM metallopeptidase with thrombospondin type 1 motif 2","HGNC:218","5q35.3"
"ADAMTSL4","Approved symbol","ADAMTSL4","ADAMTS like 4","HGNC:19706","1q21.2"
"ADARB2","Approved symbol","ADARB2","adenosine deaminase RNA specific B2 (inactive)","HGNC:227","10p15.3"
"ADGB","Approved symbol","ADGB","androglobin","HGNC:21212","6q24.3"
"ADGRA2","Approved symbol","ADGRA2","adhesion G protein-coupled receptor A2","HGNC:17849","8p11.23"
"ADGRG1","Approved symbol","ADGRG1","adhesion G protein-coupled receptor G1","HGNC:4512","16q21"
"ADGRG4","Approved symbol","ADGRG4","adhesion G protein-coupled receptor G4","HGNC:18992","Xq26.3"
"ADGRV1","Approved symbol","ADGRV1","adhesion G protein-coupled receptor V1","HGNC:17416","5q14.3"
"ADHFE1","Approved symbol","ADHFE1","alcohol dehydrogenase iron containing 1","HGNC:16354","8q13.1"
"ADIPOQ","Approved symbol","ADIPOQ","adiponectin, C1Q and collagen domain containing","HGNC:13633","3q27.3"
"ADRA1B","Approved symbol","ADRA1B","adrenoceptor alpha 1B","HGNC:278","5q33.3"
"AFDN","Approved symbol","AFDN","afadin, adherens junction formation factor","HGNC:7137","6q27"
"AFF1","Approved symbol","AFF1","ALF transcription elongation factor 1","HGNC:7135","4q21.3-q22.1"
"AFF2","Approved symbol","AFF2","ALF transcription elongation factor 2","HGNC:3776","Xq28"
"AFF3","Approved symbol","AFF3","ALF transcription elongation factor 3","HGNC:6473","2q11.2"
"AFF4","Approved symbol","AFF4","ALF transcription elongation factor 4","HGNC:17869","5q31.1"
"AFG3L2","Approved symbol","AFG3L2","AFG3 like matrix AAA peptidase subunit 2","HGNC:315","18p11.21"
"AGA","Approved symbol","AGA","aspartylglucosaminidase","HGNC:318","4q34.3"
"AGBL3","Approved symbol","AGBL3","AGBL carboxypeptidase 3","HGNC:27981","7q33"
"AGGF1","Approved symbol","AGGF1","angiogenic factor with G-patch and FHA domains 1","HGNC:24684","5q13.3"
"AGK","Approved symbol","AGK","acylglycerol kinase","HGNC:21869","7q34"
"AGL","Approved symbol","AGL","amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase","HGNC:321","1p21.2"
"AGO1","Approved symbol","AGO1","argonaute RISC component 1","HGNC:3262","1p34.3"
"AGO2","Approved symbol","AGO2","argonaute RISC catalytic component 2","HGNC:3263","8q24.3"
"AGPAT2","Approved symbol","AGPAT2","1-acylglycerol-3-phosphate O-acyltransferase 2","HGNC:325","9q34.3"
"AGPS","Approved symbol","AGPS","alkylglycerone phosphate synthase","HGNC:327","2q31.2"
"AGRP","Approved symbol","AGRP","agouti related neuropeptide","HGNC:330","16q22.1"
"AGT","Approved symbol","AGT","angiotensinogen","HGNC:333","1q42.2"
"AGT","Alias symbol","AGXT","alanine--glyoxylate aminotransferase","HGNC:341","2q37.3"
"AGTR1","Approved symbol","AGTR1","angiotensin II receptor type 1","HGNC:336","3q24"
"AGTR2","Approved symbol","AGTR2","angiotensin II receptor type 2","HGNC:338","Xq23"
"AGXT","Approved symbol","AGXT","alanine--glyoxylate aminotransferase","HGNC:341","2q37.3"
"AICDA","Approved symbol","AICDA","activation induced cytidine deaminase","HGNC:13203","12p13.31"
"AIFM1","Approved symbol","AIFM1","apoptosis inducing factor mitochondria associated 1","HGNC:8768","Xq26.1"
"AIP","Approved symbol","AIP","AHR interacting HSP90 co-chaperone","HGNC:358","11q13.2"
"AIP","Alias symbol","AURKAIP1","aurora kinase A interacting protein 1","HGNC:24114","1p36.33"
"AIPL1","Approved symbol","AIPL1","AIP like 1 HSP90 co-chaperone","HGNC:359","17p13.2"
"AIRE","Approved symbol","AIRE","autoimmune regulator","HGNC:360","21q22.3"
"AJUBA","Approved symbol","AJUBA","ajuba LIM protein","HGNC:20250","14q11.2"
"AK1","Approved symbol","AK1","adenylate kinase 1","HGNC:361","9q34.11"
"AK2","Approved symbol","AK2","adenylate kinase 2","HGNC:362","1p35.1"
"AKAP10","Approved symbol","AKAP10","A-kinase anchoring protein 10","HGNC:368","17p11.2"
"AKAP9","Approved symbol","AKAP9","A-kinase anchoring protein 9","HGNC:379","7q21.2"
"AKT1","Approved symbol","AKT1","AKT serine/threonine kinase 1","HGNC:391","14q32.33"
"AKT1S1","Approved symbol","AKT1S1","AKT1 substrate 1","HGNC:28426","19q13.33"
"AKT2","Approved symbol","AKT2","AKT serine/threonine kinase 2","HGNC:392","19q13.2"
"AKT3","Approved symbol","AKT3","AKT serine/threonine kinase 3","HGNC:393","1q43-q44"
"ALAD","Approved symbol","ALAD","aminolevulinate dehydratase","HGNC:395","9q32"
"ALAS2","Approved symbol","ALAS2","5'-aminolevulinate synthase 2","HGNC:397","Xp11.21"
"ALB","Approved symbol","ALB","albumin","HGNC:399","4q13.3"
"ALB","Alias symbol","FBF1","Fas binding factor 1","HGNC:24674","17q25.1"
"ALDH1L2","Approved symbol","ALDH1L2","aldehyde dehydrogenase 1 family member L2","HGNC:26777","12q23.3"
"ALDH2","Approved symbol","ALDH2","aldehyde dehydrogenase 2 family member","HGNC:404","12q24.12"
"ALDH3A2","Approved symbol","ALDH3A2","aldehyde dehydrogenase 3 family member A2","HGNC:403","17p11.2"
"ALDOB","Approved symbol","ALDOB","aldolase, fructose-bisphosphate B","HGNC:417","9q31.1"
"ALG1","Approved symbol","ALG1","ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase","HGNC:18294","16p13.3"
"ALG11","Approved symbol","ALG11","ALG11 alpha-1,2-mannosyltransferase","HGNC:32456","13q14.3"
"ALG12","Approved symbol","ALG12","ALG12 alpha-1,6-mannosyltransferase","HGNC:19358","22q13.33"
"ALG2","Approved symbol","ALG2","ALG2 alpha-1,3/1,6-mannosyltransferase","HGNC:23159","9q22.33"
"ALG3","Approved symbol","ALG3","ALG3 alpha-1,3- mannosyltransferase","HGNC:23056","3q27.1"
"ALG6","Approved symbol","ALG6","ALG6 alpha-1,3-glucosyltransferase","HGNC:23157","1p31.3"
"ALG8","Approved symbol","ALG8","ALG8 alpha-1,3-glucosyltransferase","HGNC:23161","11q14.1"
"ALG9","Approved symbol","ALG9","ALG9 alpha-1,2-mannosyltransferase","HGNC:15672","11q23.1"
"ALK","Approved symbol","ALK","ALK receptor tyrosine kinase","HGNC:427","2p23.2-p23.1"
"ALMS1","Approved symbol","ALMS1","ALMS1 centrosome and basal body associated protein","HGNC:428","2p13.1"
"ALOX12B","Approved symbol","ALOX12B","arachidonate 12-lipoxygenase, 12R type","HGNC:430","17p13.1"
"ALOX15B","Approved symbol","ALOX15B","arachidonate 15-lipoxygenase type B","HGNC:434","17p13.1"
"ALOX5","Approved symbol","ALOX5","arachidonate 5-lipoxygenase","HGNC:435","10q11.21"
"ALOX5AP","Approved symbol","ALOX5AP","arachidonate 5-lipoxygenase activating protein","HGNC:436","13q12.3"
"ALOXE3","Approved symbol","ALOXE3","arachidonate epidermal lipoxygenase 3","HGNC:13743","17p13.1"
"ALPL","Approved symbol","ALPL","alkaline phosphatase, biomineralization associated","HGNC:438","1p36.12"
"ALS2","Approved symbol","ALS2","alsin Rho guanine nucleotide exchange factor ALS2","HGNC:443","2q33.1"
"ALX4","Approved symbol","ALX4","ALX homeobox 4","HGNC:450","11p11.2"
"AMELX","Approved symbol","AMELX","amelogenin X-linked","HGNC:461","Xp22.2"
"AMER1","Approved symbol","AMER1","APC membrane recruitment protein 1","HGNC:26837","Xq11.2"
"AMH","Approved symbol","AMH","anti-Mullerian hormone","HGNC:464","19p13.3"
"AMHR2","Approved symbol","AMHR2","anti-Mullerian hormone receptor type 2","HGNC:465","12q13.13"
"AMN","Approved symbol","AMN","amnion associated transmembrane protein","HGNC:14604","14q32.32"
"AMN","Alias symbol","ABCD1","ATP binding cassette subfamily D member 1","HGNC:61","Xq28"
"AMT","Approved symbol","AMT","aminomethyltransferase","HGNC:473","3p21.31"
"ANG","Approved symbol","ANG","angiogenin","HGNC:483","14q11.2"
"ANGPTL3","Approved symbol","ANGPTL3","angiopoietin like 3","HGNC:491","1p31.3"
"ANK1","Approved symbol","ANK1","ankyrin 1","HGNC:492","8p11.21"
"ANK2","Approved symbol","ANK2","ankyrin 2","HGNC:493","4q25-q26"
"ANKH","Approved symbol","ANKH","ANKH inorganic pyrophosphate transport regulator","HGNC:15492","5p15.2"
"ANKRD1","Approved symbol","ANKRD1","ankyrin repeat domain 1","HGNC:15819","10q23.31"
"ANKRD11","Approved symbol","ANKRD11","ankyrin repeat domain containing 11","HGNC:21316","16q24.3"
"ANKRD26","Approved symbol","ANKRD26","ankyrin repeat domain containing 26","HGNC:29186","10p12.1"
"ANKRD7","Approved symbol","ANKRD7","ankyrin repeat domain 7","HGNC:18588","7q31.31"
"ANO10","Approved symbol","ANO10","anoctamin 10","HGNC:25519","3p22.1-p21.33"
"ANO5","Approved symbol","ANO5","anoctamin 5","HGNC:27337","11p14.3"
"ANO6","Approved symbol","ANO6","anoctamin 6","HGNC:25240","12q12"
"ANOS1","Approved symbol","ANOS1","anosmin 1","HGNC:6211","Xp22.31"
"ANTXR1","Approved symbol","ANTXR1","ANTXR cell adhesion molecule 1","HGNC:21014","2p13.3"
"ANTXR2","Approved symbol","ANTXR2","ANTXR cell adhesion molecule 2","HGNC:21732","4q21.21"
"AP1S2","Approved symbol","AP1S2","adaptor related protein complex 1 subunit sigma 2","HGNC:560","Xp22.2"
"AP3B1","Approved symbol","AP3B1","adaptor related protein complex 3 subunit beta 1","HGNC:566","5q14.1"
"AP4E1","Approved symbol","AP4E1","adaptor related protein complex 4 subunit epsilon 1","HGNC:573","15q21.2"
"AP4M1","Approved symbol","AP4M1","adaptor related protein complex 4 subunit mu 1","HGNC:574","7q22.1"
"AP5Z1","Approved symbol","AP5Z1","adaptor related protein complex 5 subunit zeta 1","HGNC:22197","7p22.1"
"APC","Approved symbol","APC","APC regulator of Wnt signaling pathway","HGNC:583","5q22.2"
"APCDD1","Approved symbol","APCDD1","APC down-regulated 1","HGNC:15718","18p11.22"
"APEH","Approved symbol","APEH","acylaminoacyl-peptide hydrolase","HGNC:586","3p21.31"
"APEX1","Approved symbol","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1","HGNC:587","14q11.2"
"APH1A","Approved symbol","APH1A","aph-1A gamma-secretase subunit","HGNC:29509","1q21.2"
"APLNR","Approved symbol","APLNR","apelin receptor","HGNC:339","11q12.1"
"APOA1","Approved symbol","APOA1","apolipoprotein A1","HGNC:600","11q23.3"
"APOA5","Approved symbol","APOA5","apolipoprotein A5","HGNC:17288","11q23.3"
"APOB","Approved symbol","APOB","apolipoprotein B","HGNC:603","2p24.1"
"APOBEC3B","Approved symbol","APOBEC3B","apolipoprotein B mRNA editing enzyme catalytic subunit 3B","HGNC:17352","22q13.1"
"APOC2","Approved symbol","APOC2","apolipoprotein C2","HGNC:609","19q13.32"
"APOE","Approved symbol","APOE","apolipoprotein E","HGNC:613","19q13.32"
"APOL1","Approved symbol","APOL1","apolipoprotein L1","HGNC:618","22q12.3"
"APP","Approved symbol","APP","amyloid beta precursor protein","HGNC:620","21q21.3"
"APTX","Approved symbol","APTX","aprataxin","HGNC:15984","9p21.1"
"AQP12B","Approved symbol","AQP12B","aquaporin 12B","HGNC:6096","2q37.3"
"AQP2","Approved symbol","AQP2","aquaporin 2","HGNC:634","12q13.12"
"AR","Approved symbol","AR","androgen receptor","HGNC:644","Xq12"
"AR","Alias symbol","AREG","amphiregulin","HGNC:651","4q13.3"
"AR","Alias symbol","FDXR","ferredoxin reductase","HGNC:3642","17q25.1"
"AR","Alias symbol","AKR1B1","aldo-keto reductase family 1 member B","HGNC:381","7q33"
"ARAF","Approved symbol","ARAF","A-Raf proto-oncogene, serine/threonine kinase","HGNC:646","Xp11.3"
"ARFGEF2","Approved symbol","ARFGEF2","ARF guanine nucleotide exchange factor 2","HGNC:15853","20q13.13"
"ARFRP1","Approved symbol","ARFRP1","ARF related protein 1","HGNC:662","20q13.33"
"ARG1","Approved symbol","ARG1","arginase 1","HGNC:663","6q23.2"
"ARG1","Alias symbol","TINAGL1","tubulointerstitial nephritis antigen like 1","HGNC:19168","1p35.2"
"ARHGAP20","Approved symbol","ARHGAP20","Rho GTPase activating protein 20","HGNC:18357","11q22.3-q23.1"
"ARHGAP24","Approved symbol","ARHGAP24","Rho GTPase activating protein 24","HGNC:25361","4q21.23-q21.3"
"ARHGAP26","Approved symbol","ARHGAP26","Rho GTPase activating protein 26","HGNC:17073","5q31.3"
"ARHGAP31","Approved symbol","ARHGAP31","Rho GTPase activating protein 31","HGNC:29216","3q13.32-q13.33"
"ARHGAP35","Approved symbol","ARHGAP35","Rho GTPase activating protein 35","HGNC:4591","19q13.32"
"ARHGAP5","Approved symbol","ARHGAP5","Rho GTPase activating protein 5","HGNC:675","14q12"
"ARHGEF10","Approved symbol","ARHGEF10","Rho guanine nucleotide exchange factor 10","HGNC:14103","8p23.3"
"ARHGEF10L","Approved symbol","ARHGEF10L","Rho guanine nucleotide exchange factor 10 like","HGNC:25540","1p36.13"
"ARHGEF12","Approved symbol","ARHGEF12","Rho guanine nucleotide exchange factor 12","HGNC:14193","11q23.3"
"ARHGEF28","Approved symbol","ARHGEF28","Rho guanine nucleotide exchange factor 28","HGNC:30322","5q13.2"
"ARHGEF6","Approved symbol","ARHGEF6","Rac/Cdc42 guanine nucleotide exchange factor 6","HGNC:685","Xq26.3"
"ARID1A","Approved symbol","ARID1A","AT-rich interaction domain 1A","HGNC:11110","1p36.11"
"ARID1B","Approved symbol","ARID1B","AT-rich interaction domain 1B","HGNC:18040","6q25.3"
"ARID2","Approved symbol","ARID2","AT-rich interaction domain 2","HGNC:18037","12q12"
"ARID3A","Approved symbol","ARID3A","AT-rich interaction domain 3A","HGNC:3031","19p13.3"
"ARID3B","Approved symbol","ARID3B","AT-rich interaction domain 3B","HGNC:14350","15q24.1"
"ARID3C","Approved symbol","ARID3C","AT-rich interaction domain 3C","HGNC:21209","9p13.3"
"ARID4A","Approved symbol","ARID4A","AT-rich interaction domain 4A","HGNC:9885","14q23.1"
"ARID4B","Approved symbol","ARID4B","AT-rich interaction domain 4B","HGNC:15550","1q42.3"
"ARID5A","Approved symbol","ARID5A","AT-rich interaction domain 5A","HGNC:17361","2q11.2"
"ARID5B","Approved symbol","ARID5B","AT-rich interaction domain 5B","HGNC:17362","10q21.2"
"ARL","Unmatched","","","",""
"ARMS2","Approved symbol","ARMS2","age-related maculopathy susceptibility 2","HGNC:32685","10q26.13"
"ARNT","Approved symbol","ARNT","aryl hydrocarbon receptor nuclear translocator","HGNC:700","1q21.3"
"ARSA","Approved symbol","ARSA","arylsulfatase A","HGNC:713","22q13.33"
"ARSB","Approved symbol","ARSB","arylsulfatase B","HGNC:714","5q14.1"
"ARSB","Alias symbol","SLURP1","secreted LY6/PLAUR domain containing 1","HGNC:18746","8q24.3"
"ARSL","Approved symbol","ARSL","arylsulfatase L","HGNC:719","Xp22.33"
"ARX","Approved symbol","ARX","aristaless related homeobox","HGNC:18060","Xp21.3"
"ASAH1","Approved symbol","ASAH1","N-acylsphingosine amidohydrolase 1","HGNC:735","8p22"
"ASCC1","Approved symbol","ASCC1","activating signal cointegrator 1 complex subunit 1","HGNC:24268","10q22.1"
"ASCL1","Approved symbol","ASCL1","achaete-scute family bHLH transcription factor 1","HGNC:738","12q23.2"
"ASL","Approved symbol","ASL","argininosuccinate lyase","HGNC:746","7q11.21"
"ASMTL","Approved symbol","ASMTL","acetylserotonin O-methyltransferase like","HGNC:751","Xp22.3 and Yp11.3"
"ASPA","Approved symbol","ASPA","aspartoacylase","HGNC:756","17p13.2"
"ASPM","Approved symbol","ASPM","assembly factor for spindle microtubules","HGNC:19048","1q31.3"
"ASPN","Approved symbol","ASPN","asporin","HGNC:14872","9q22.31"
"ASPSCR1","Approved symbol","ASPSCR1","ASPSCR1 tether for SLC2A4, UBX domain containing","HGNC:13825","17q25.3"
"ASS1","Approved symbol","ASS1","argininosuccinate synthase 1","HGNC:758","9q34.11"
"ASXL1","Approved symbol","ASXL1","ASXL transcriptional regulator 1","HGNC:18318","20q11.21"
"ASXL2","Approved symbol","ASXL2","ASXL transcriptional regulator 2","HGNC:23805","2p23.3"
"ATCAY","Approved symbol","ATCAY","ATCAY kinesin light chain interacting caytaxin","HGNC:779","19p13.3"
"ATF1","Approved symbol","ATF1","activating transcription factor 1","HGNC:783","12q13.12"
"ATF1","Alias symbol","GDNF","glial cell derived neurotrophic factor","HGNC:4232","5p13.2"
"ATG16L1","Approved symbol","ATG16L1","autophagy related 16 like 1","HGNC:21498","2q37.1"
"ATG5","Approved symbol","ATG5","autophagy related 5","HGNC:589","6q21"
"ATIC","Approved symbol","ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","HGNC:794","2q35"
"ATL1","Approved symbol","ATL1","atlastin GTPase 1","HGNC:11231","14q22.1"
"ATM","Approved symbol","ATM","ATM serine/threonine kinase","HGNC:795","11q22.3"
"ATMIN","Approved symbol","ATMIN","ATM interactor","HGNC:29034","16q23.2"
"ATN1","Approved symbol","ATN1","atrophin 1","HGNC:3033","12p13.31"
"ATOH7","Approved symbol","ATOH7","atonal bHLH transcription factor 7","HGNC:13907","10q21.3"
"ATP10A","Approved symbol","ATP10A","ATPase phospholipid transporting 10A (putative)","HGNC:13542","15q12"
"ATP13A2","Approved symbol","ATP13A2","ATPase cation transporting 13A2","HGNC:30213","1p36.13"
"ATP13A4","Approved symbol","ATP13A4","ATPase 13A4","HGNC:25422","3q29"
"ATP1A1","Approved symbol","ATP1A1","ATPase Na+/K+ transporting subunit alpha 1","HGNC:799","1p13.1"
"ATP1A2","Approved symbol","ATP1A2","ATPase Na+/K+ transporting subunit alpha 2","HGNC:800","1q23.2"
"ATP1A3","Approved symbol","ATP1A3","ATPase Na+/K+ transporting subunit alpha 3","HGNC:801","19q13.2"
"ATP2A2","Approved symbol","ATP2A2","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2","HGNC:812","12q24.11"
"ATP2B3","Approved symbol","ATP2B3","ATPase plasma membrane Ca2+ transporting 3","HGNC:816","Xq28"
"ATP2C1","Approved symbol","ATP2C1","ATPase secretory pathway Ca2+ transporting 1","HGNC:13211","3q22.1"
"ATP6","Alias symbol","MT-ATP6","mitochondrially encoded ATP synthase membrane subunit 6","HGNC:7414","mitochondria"
"ATP6AP1","Approved symbol","ATP6AP1","ATPase H+ transporting accessory protein 1","HGNC:868","Xq28"
"ATP6AP2","Approved symbol","ATP6AP2","ATPase H+ transporting accessory protein 2","HGNC:18305","Xp11.4"
"ATP6V0A2","Approved symbol","ATP6V0A2","ATPase H+ transporting V0 subunit a2","HGNC:18481","12q24.31"
"ATP6V0A4","Approved symbol","ATP6V0A4","ATPase H+ transporting V0 subunit a4","HGNC:866","7q34"
"ATP6V1B1","Approved symbol","ATP6V1B1","ATPase H+ transporting V1 subunit B1","HGNC:853","2p13.3"
"ATP6V1B2","Approved symbol","ATP6V1B2","ATPase H+ transporting V1 subunit B2","HGNC:854","8p21.3"
"ATP7A","Approved symbol","ATP7A","ATPase copper transporting alpha","HGNC:869","Xq21.1"
"ATP7B","Approved symbol","ATP7B","ATPase copper transporting beta","HGNC:870","13q14.3"
"ATP8B1","Approved symbol","ATP8B1","ATPase phospholipid transporting 8B1","HGNC:3706","18q21.31"
"ATR","Approved symbol","ATR","ATR checkpoint kinase","HGNC:882","3q23"
"ATR","Alias symbol","SERPINA2","serpin family A member 2 (gene/pseudogene)","HGNC:8985","14q32.13"
"ATR","Alias symbol","ANTXR1","ANTXR cell adhesion molecule 1","HGNC:21014","2p13.3"
"ATRIP","Approved symbol","ATRIP","ATR interacting protein","HGNC:33499","3p21.31"
"ATRX","Approved symbol","ATRX","ATRX chromatin remodeler","HGNC:886","Xq21.1"
"ATXN1","Approved symbol","ATXN1","ataxin 1","HGNC:10548","6p22.3"
"ATXN10","Approved symbol","ATXN10","ataxin 10","HGNC:10549","22q13.31"
"ATXN2","Approved symbol","ATXN2","ataxin 2","HGNC:10555","12q24.12"
"ATXN3","Approved symbol","ATXN3","ataxin 3","HGNC:7106","14q32.12"
"ATXN7","Approved symbol","ATXN7","ataxin 7","HGNC:10560","3p14.1"
"AURKA","Approved symbol","AURKA","aurora kinase A","HGNC:11393","20q13.2"
"AURKB","Approved symbol","AURKB","aurora kinase B","HGNC:11390","17p13.1"
"AVP","Approved symbol","AVP","arginine vasopressin","HGNC:894","20p13"
"AVP","Alias symbol","NLRP3","NLR family pyrin domain containing 3","HGNC:16400","1q44"
"AVPR2","Approved symbol","AVPR2","arginine vasopressin receptor 2","HGNC:897","Xq28"
"AXIN1","Approved symbol","AXIN1","axin 1","HGNC:903","16p13.3"
"AXIN2","Approved symbol","AXIN2","axin 2","HGNC:904","17q24.1"
"AXL","Approved symbol","AXL","AXL receptor tyrosine kinase","HGNC:905","19q13.2"
"B2M","Approved symbol","B2M","beta-2-microglobulin","HGNC:914","15q21.1"
"B3GNT2","Approved symbol","B3GNT2","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2","HGNC:15629","2p15"
"B4GALT1","Approved symbol","B4GALT1","beta-1,4-galactosyltransferase 1","HGNC:924","9p21.1"
"B4GALT7","Approved symbol","B4GALT7","beta-1,4-galactosyltransferase 7","HGNC:930","5q35.3"
"BAALC","Approved symbol","BAALC","BAALC binder of MAP3K1 and KLF4","HGNC:14333","8q22.3"
"BABAM1","Approved symbol","BABAM1","BRISC and BRCA1 A complex member 1","HGNC:25008","19p13.11"
"BACH2","Approved symbol","BACH2","BACH transcriptional regulator 2","HGNC:14078","6q15"
"BAG3","Approved symbol","BAG3","BAG cochaperone 3","HGNC:939","10q26.11"
"BANK1","Approved symbol","BANK1","B cell scaffold protein with ankyrin repeats 1","HGNC:18233","4q24"
"BAP1","Approved symbol","BAP1","BRCA1 associated deubiquitinase 1","HGNC:950","3p21.1"
"BAP1","Alias symbol","MAGI1","membrane associated guanylate kinase, WW and PDZ domain containing 1","HGNC:946","3p14.1"
"BAP1","Alias symbol","RNF2","ring finger protein 2","HGNC:10061","1q25.3"
"BARD1","Approved symbol","BARD1","BRCA1 associated RING domain 1","HGNC:952","2q35"
"BAX","Approved symbol","BAX","BCL2 associated X, apoptosis regulator","HGNC:959","19q13.33"
